product,price,id
iPhone XR 64GB,749,865613886
Samsung Galaxy S10,799,138121600
MacBook Air M1,999,474149109
Dell XPS 13,949,688278748
PlayStation 5,499,936630193
Xbox Series X,499,344841963
Nintendo Switch,299,429892578
Canon EOS Rebel T7 DSLR Camera,399,534441825
Sony Alpha a7 III Mirrorless Camera,1999,416564265
Bose QuietComfort 35 II Wireless Headphones,299,630549873
Apple AirPods Pro,249,449495496
Amazon Echo Dot (4th Gen),49,930992949
Google Nest Mini (2nd Gen),49,697957669
Fitbit Charge 4,129,799496665
Garmin Forerunner 945,599,44285984
Nike Air Zoom Pegasus 38,120,988428495
Adidas Ultraboost 21,180,266259118
Lululemon Align Pant II,98,853762750
Patagonia Better Sweater Fleece Jacket,139,444397627
The North Face Men's Resolve 2 Jacket,90,803903277
UGG Classic Short II Boots,170,260967957
Hunter Original Short Rain Boots,150,711535700
Coach Signature Mini Umbrella,65,398302598
Kate Spade New York Cameron Medium Satchel,298,93094559
Michael Kors Jet Set Travel Large Tote,198,606609728
Tory Burch Miller Metal Logo Sandals,198,971067357
Gucci GG Marmont Matelasse Shoulder Bag,2290,576618457
Louis Vuitton Neverfull MM Tote Bag,1410,680925054
Chanel Classic Flap Bag,6500,111270336
Hermes Birkin Bag,10000,986583398
Cartier Tank Solo Watch,2500,992041732
Rolex Submariner Watch,8500,24816756
Tiffany & Co. Diamond Stud Earrings,1500,639665454
Pandora Moments Charm Bracelet,65,637070322
Swarovski Crystal Circle Necklace,99,502405450
L'Occitane Shea Butter Hand Cream,29,229101381
Kiehl's Ultra Facial Cream,32,265230869
Drunk Elephant C-Firma Vitamin C Day Serum,80,313664114
The Ordinary Niacinamide 10% + Zinc 1% Serum,6,518058164
Ole Henriksen Banana Bright Eye Crème,39,777290361
Tatcha The Water Cream,68,47625208
Glossier Boy Brow,16,529558348
Fenty Beauty Pro Filt'r Soft Matte Longwear Foundation,35,126033841
Charlotte Tilbury Matte Revolution Lipstick,34,212087128
Nars Orgasm Blush,30,332025981
Huda Beauty Mercury Retrograde Eyeshadow Palette,67,525056816
Anastasia Beverly Hills Brow Wiz,23,126114265
Too Faced Better Than Sex Mascara,24,974890388
